Atlanta,Chicago,Colorado,Columbus,D.C. United,FC Cincinnati,FC Dallas,Houston,LA Galaxy,Los Angeles FC,Minnesota,Montreal,New England,NY Red Bulls,NYCFC,Orlando City,Philadelphia,Portland,Real Salt Lake,San Jose,Seattle,Sporting KC,Toronto FC,Vancouver
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
18,10,12,10,13,6,13,12,16,21,15,12,11,14,18,9,16,14,16,13,16,10,13,8
4,12,6,8,11,6,9,4,3,9,8,5,12,6,10,10,7,7,5,5,8,8,11,10
12,12,16,16,10,22,12,18,15,4,11,17,11,14,6,15,11,13,13,16,10,16,10,16
58,55,58,39,42,31,54,49,58,85,52,47,50,53,63,44,58,52,46,52,52,49,57,37
+15,+8,-5,-8,+4,-44,+8,-10,-1,+48,+9,-13,-7,+2,+21,-8,+8,+3,+5,-3,+3,-18,+5,-22
57.4,53.4,51.1,38.1,39.2,33.6,49.5,47.8,56.3,77.6,53.4,38.9,44.6,50.5,53.6,43.8,55.1,52.3,37.1,53.0,49.7,58.0,47.6,34.5
+14.8,+7.9,-5.6,-5.1,-9.1,-25.6,+5.5,-3.4,-6.5,+40.5,+8.7,-11.8,-9.4,-0.4,+7.9,+0.4,+12.6,-3.3,-4.4,+6.1,+3.2,+5.0,-2.4,-25.6
577,569,644,568,527,446,491,537,722,435,639,534,542,614,481,514,556,753,441,593,607,541,545,470
61,73,72,67,65,56,71,70,128,44,81,54,77,74,82,51,84,106,62,78,83,69,82,53
4786,4899,5652,4952,5187,5354,5489,5192,5297,5916,5412,5570,5677,6422,5195,5161,5499,5182,5363,4951,5200,5501,4850,5066
1396,1298,1339,1287,1370,1359,1337,1302,1263,1808,1386,1462,1514,1953,1495,1323,1531,1387,1284,1452,1355,1348,1258,1134
1045,1084,1086,1038,927,1113,1226,1091,1040,1585,1032,1106,1236,1539,1118,1119,1329,1207,1077,953,1031,1440,1101,937
Atlanta,Chicago,Colorado,Columbus,D.C. United,FC Dallas,Houston,LA Galaxy,Los Angeles FC,Minnesota,Montreal,New England,NY Red Bulls,NYCFC,Orlando City,Philadelphia,Portland,Real Salt Lake,San Jose,Seattle,Sporting KC,Toronto FC,Vancouver
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
21,8,8,14,14,16,10,13,16,11,14,10,22,16,8,15,15,14,4,18,18,10,13
6,8,7,9,9,9,8,9,9,3,4,11,5,8,4,5,9,7,9,5,8,6,8
6,18,18,11,11,9,16,12,9,20,16,13,7,10,22,14,10,13,21,11,8,18,13
70,48,36,43,60,52,58,66,68,49,47,49,62,59,43,49,54,55,49,52,65,59,54
+26,-13,-27,-2,+10,+8,0,+2,+16,-22,-6,-6,+29,+14,-31,-1,+6,-3,-22,+15,+25,-5,-13
69.5,39.1,35.4,47.3,46.4,49.9,51.8,48.5,57.5,41.6,42.8,41.6,60.6,54.9,43.6,53.0,49.0,47.3,40.7,45.3,56.3,57.4,49.0
+31.0,-20.2,-23.2,+9.6,-0.9,+10.2,+1.6,-5.2,+11.8,-11.9,-6.7,-7.8,+19.2,+15.1,-18.5,+4.1,+5.4,-5.5,-19.5,+1.3,+13.3,+4.1,-7.5
607,511,498,693,459,511,582,638,495,546,491,667,590,578,557,544,527,444,614,628,598,539,657
87,54,53,79,51,68,68,86,53,67,58,86,64,71,60,64,72,55,67,72,76,55,85
3576,5854,5949,4880,5099,5114,5027,5476,4245,6246,5702,5640,5950,5000,5053,4710,5388,5085,5370,5478,4838,5512,5879
972,1368,1248,1305,1222,1206,1231,1336,1109,1586,1485,1497,1796,1457,1350,1187,1332,1260,1263,1374,1287,1520,1326
705,1000,1227,1125,1054,1080,1091,1077,998,1117,1011,1487,1436,1194,1015,1163,978,1185,987,1064,1281,1238,978
